controller,N,seed,mse,state_dim
RES,1000,2,0.10040209117855169,2
RES,1000,3,0.10151510931871251,2
RES,1000,4,0.10674623265750663,2
RES,1000,5,0.10574675896775682,2
RES,1000,6,0.1047337683395817,2
RES,1000,7,0.10284196200846364,2
RES,1000,8,0.10310954068155023,2
RES,1000,9,0.1046555957896759,2
RES,1000,10,0.10239482440725926,2
RES,1000,11,0.1034731680015344,2
RES,3000,0,0.07591668759299731,2
RES,3000,1,0.07997732105800887,2
RES,3000,2,0.07773848487005645,2
RES,3000,3,0.07807947594300746,2
RES,3000,4,0.07821552529274153,2
RES,3000,5,0.07993780966936523,2
RES,3000,6,0.07883605383051999,2
RES,3000,7,0.07904427468781378,2
RES,3000,8,0.07640104335423123,2
RES,3000,9,0.07798226579431314,2
RES,3000,10,0.08012146562938466,2
RES,3000,11,0.07468483033592381,2
